id;geometry
30;POLYGON ((576860.281495173 5827736.595912367, 576855.9917055249 5827737.529724197, 576848.2622479548 5827729.286442422, 576860.281495173 5827736.595912367))
31;POLYGON ((577028.7080516329 5828261.774075645, 577090.4442828445 5828191.310509481, 577086.6867529185 5828227.220320102, 577028.7080516329 5828261.774075645))
32;POLYGON ((577356.6557200734 5828081.348162555, 577352.9408380771 5828078.930698632, 577349.1620830996 5828072.417995168, 577356.6557200734 5828081.348162555))
33;POLYGON ((577032.5815560782 5828019.163338767, 577043.9963022566 5828017.274015193, 577058.3538161315 5828032.831568904, 577032.5815560782 5828019.163338767))
34;POLYGON ((577158.5217634751 5828013.296384445, 577172.4226983265 5827982.475513569, 577170.8180416417 5828018.864304543, 577158.5217634751 5828013.296384445))
35;POLYGON ((577444.9973301649 5827615.549471716, 577438.293017056 5827608.078032213, 577415.7163921571 5827544.448802614, 577444.9973301649 5827615.549471716))
36;POLYGON ((577350.7584924868 5827596.355591836, 577373.4664281362 5827646.168569233, 577358.740331156 5827645.957609353, 577350.7584924868 5827596.355591836))
37;POLYGON ((577242.7275698017 5827560.245917569, 577229.8186892017 5827584.145475769, 577223.7674030077 5827584.845296038, 577242.7275698017 5827560.245917569))
38;POLYGON ((577035.4001382926 5827510.890049645, 577046.6529657827 5827517.4090918545, 577039.2595202412 5827527.3834182415, 577035.4001382926 5827510.890049645))
39;POLYGON ((577386.1351694099 5827910.113290353, 577369.6973520704 5827899.539454164, 577383.826317163 5827905.748845149, 577386.1351694099 5827910.113290353))
40;POLYGON ((577414.0799323996 5828122.677342142, 577405.5655998413 5828108.056834628, 577419.6659172775 5828112.60990229, 577414.0799323996 5828122.677342142))
41;POLYGON ((577423.2532733157 5828127.773644387, 577425.7499079532 5828123.273960313, 577435.7358804309 5828128.817067354, 577423.2532733157 5828127.773644387))
42;POLYGON ((577348.1296477126 5828174.835308683, 577334.6769776052 5828146.496706961, 577353.0887831658 5828135.896259805, 577348.1296477126 5828174.835308683))
43;POLYGON ((577300.4100687518 5827916.677424755, 577248.5236956505 5827886.529491321, 577270.5409535007 5827874.617283458, 577300.4100687518 5827916.677424755))
44;POLYGON ((576848.3398871248 5827760.528330185, 576847.3978393285 5827756.241282779, 576852.7007721239 5827755.935310217, 576848.3398871248 5827760.528330185))
45;POLYGON ((577342.6580400356 5828094.688642955, 577295.4051798995 5828127.206285098, 577291.0778526894 5828099.702017216, 577342.6580400356 5828094.688642955))
46;POLYGON ((577293.3664381362 5828139.167447707, 577280.7771814537 5828146.578176166, 577280.4210872562 5828136.971127743, 577293.3664381362 5828139.167447707))
47;POLYGON ((576968.7002355309 5827475.783318534, 577020.2518305148 5827402.054249136, 577017.9512927347 5827417.326804288, 576968.7002355309 5827475.783318534))
48;POLYGON ((577395.2347418863 5827757.825251719, 577338.7116468316 5827819.127884069, 577318.2470045716 5827809.753222733, 577395.2347418863 5827757.825251719))
49;POLYGON ((576841.1772224255 5827750.280242706, 576849.2408206427 5827748.0484613385, 576844.8799322374 5827752.641484376, 576841.1772224255 5827750.280242706))
50;POLYGON ((577326.1536018556 5827673.634023225, 577329.1647677049 5827671.73470315, 577330.1896641294 5827673.3307644725, 577326.1536018556 5827673.634023225))
51;POLYGON ((577455.1079215031 5827789.781323418, 577453.5775966322 5827800.838185723, 577447.871503574 5827801.359626873, 577455.1079215031 5827789.781323418))
52;POLYGON ((577365.090113088 5827657.85132116, 577353.9283179906 5827664.883972984, 577362.1949845598 5827653.2773457365, 577365.090113088 5827657.85132116))
53;POLYGON ((577239.647681758 5827943.997589805, 577236.3621661521 5827892.990306589, 577248.5236956505 5827886.529491321, 577239.647681758 5827943.997589805))
54;POLYGON ((576841.1772224255 5827750.280242706, 576842.4534259983 5827744.092236161, 576849.2408206427 5827748.0484613385, 576841.1772224255 5827750.280242706))
55;POLYGON ((577019.4243677808 5828019.634526651, 577032.3029047868 5828017.501228674, 577032.5815560782 5828019.163338767, 577019.4243677808 5828019.634526651))
56;POLYGON ((577161.9792152115 5827724.496698823, 577173.193797234 5827743.687517605, 577158.5459444495 5827732.108015472, 577161.9792152115 5827724.496698823))
57;POLYGON ((577208.9268872609 5827814.777415918, 577209.6950070503 5827807.758167572, 577211.9472834615 5827808.427926297, 577208.9268872609 5827814.777415918))
58;POLYGON ((577267.4682591355 5828303.9732398065, 577264.1676192838 5828298.502845193, 577308.280353098 5828293.059519643, 577267.4682591355 5828303.9732398065))
59;POLYGON ((577261.4008358135 5828020.29621961, 577252.3705157519 5828024.1252414845, 577243.9353310843 5828018.595918115, 577261.4008358135 5828020.29621961))
60;POLYGON ((577020.3484840416 5827752.623434977, 577020.7361172744 5827771.009043568, 576996.1394221232 5827755.7352451, 577020.3484840416 5827752.623434977))
61;POLYGON ((577066.5349865078 5828043.307456736, 577062.4665198454 5828063.291620172, 577051.5285968065 5828061.37234857, 577066.5349865078 5828043.307456736))
62;POLYGON ((577190.4801714736 5828080.91103281, 577195.5614180134 5828090.325728275, 577157.2970886389 5828100.691008813, 577190.4801714736 5828080.91103281))
63;POLYGON ((577096.9001973534 5828200.335150898, 577098.3265080123 5828205.252935414, 577096.5502063549 5828205.7700526165, 577096.9001973534 5828200.335150898))
64;POLYGON ((576986.0579930715 5827834.4123746045, 576996.3302177525 5827849.371325994, 576986.9764965244 5827858.669539283, 576986.0579930715 5827834.4123746045))
65;POLYGON ((577086.9702113934 5827385.3611570075, 577057.6887874759 5827438.023975839, 577075.4736648763 5827388.2615678245, 577086.9702113934 5827385.3611570075))
66;POLYGON ((577428.0982555866 5827998.203453169, 577425.3581536595 5827997.970884617, 577427.2408512665 5827991.60348903, 577428.0982555866 5827998.203453169))
67;POLYGON ((577331.15970106 5828041.737743632, 577274.6364337828 5828045.705121645, 577266.0128261809 5828031.105395387, 577331.15970106 5828041.737743632))
68;POLYGON ((576968.7002355309 5827475.783318534, 577017.9512927347 5827417.326804288, 577018.3150810916 5827422.617197821, 576968.7002355309 5827475.783318534))
69;POLYGON ((577124.9003527048 5828086.561618379, 577127.1183244133 5828068.372881809, 577144.749217069 5828089.189190114, 577124.9003527048 5828086.561618379))
70;POLYGON ((577228.1672947665 5827947.6655367585, 577176.3443464665 5827968.385688211, 577172.7886571825 5827925.863037554, 577228.1672947665 5827947.6655367585))
71;POLYGON ((577396.2990632666 5827810.811215844, 577431.2106542692 5827813.389330696, 577430.778660891 5827815.852372649, 577396.2990632666 5827810.811215844))
72;POLYGON ((577045.6660391797 5828066.253021995, 577049.5539630478 5828082.190594881, 577033.924396887 5828100.69073175, 577045.6660391797 5828066.253021995))
